年份,地区,地区_归一化,文本总词频,环境规制强度_Z1,环保词频_总计,环保词频_污染防治,环保词频_绿色低碳,环保词频_生态保护,环保词频_环境监管,人均地区生产总值（元）,地区生产总值（万元）,第三产业增加值占GDP比重（%）,生活垃圾卫生填埋场处理量（万吨）,生活垃圾焚烧厂处理量（万吨）,无害化处理量（万吨）,生活垃圾清运量（万吨）,市容环卫专用车辆设备总数（台）,市容环境卫生投资（万元）
2022,台州市,台州,5845,1.4029084687767324,82,3,24,11,44,90572.0,60410000.0,50.85,0.0,76.35863,76.35863,76.35863,669.0,483.0
2023,台州市,台州,5691,1.3530135301353017,77,4,22,23,28,93214.0,62410000.0,52.53,0.0,77.70947,77.70947,77.70947,780.0,11.0
2013,合肥市,合肥,6499,1.8925988613632867,123,15,25,38,45,65631.0,46729100.0,39.42,99.5,,99.5,99.5,792.0,34286.0
2014,合肥市,合肥,1804,1.5521064301552108,28,5,3,7,13,67689.0,51805600.0,39.88,76.72,33.5,110.22,110.22,754.0,23722.0
2015,合肥市,合肥,5736,1.778242677824268,102,13,19,35,35,73102.0,56602700.0,42.75,70.32,51.72,122.04,122.05,1770.0,34709.0
2016,合肥市,合肥,6844,1.5195791934541203,104,14,27,33,30,80138.0,62743777.0,44.99,58.69,85.61,144.3,144.3,1920.0,27943.0
2017,合肥市,合肥,5217,1.820969906076289,95,14,13,35,33,88456.0,70030500.0,,78.07,86.16,171.52,171.52,963.0,
2018,合肥市,合肥,6213,1.7865765330758083,111,13,19,39,40,97470.0,78229061.0,50.28,41.0039,117.7164,166.3067,166.3067,981.0,1050.0
2019,合肥市,合肥,5085,1.750245821042281,89,16,14,20,39,115623.0,94090000.0,60.6,64.107,110.081,182.2357,182.2357,1076.0,61321.0
2020,合肥市,合肥,4908,1.5077424612876935,74,15,6,24,29,108427.0,100460000.0,61.06,37.49,129.87275,173.21205,173.21205,1472.0,128638.0
2021,合肥市,合肥,6672,1.738609112709832,116,16,20,44,36,121187.0,114130000.0,60.38,6.5216,181.88236,200.52416,200.52416,1577.0,52225.0
2022,合肥市,合肥,6653,1.4579888771982563,97,14,23,31,29,125798.0,120130000.0,60.26,0.0,213.06821,237.1359,237.13592,1633.0,14815.0
2023,合肥市,合肥,6178,1.5862738750404664,98,9,28,31,30,130074.0,126740000.0,60.4,0.0,194.3999,227.583,227.583,1779.0,25277.0
2013,吉安市,吉安,5264,1.633738601823708,86,15,10,28,33,22081.0,11239013.0,31.67,16.24,,16.24,16.24,33.0,128.0
2014,吉安市,吉安,6327,1.2960328749802434,82,8,18,38,18,25486.0,12421109.0,32.51,16.24,,16.24,16.24,33.0,156.0
2015,吉安市,吉安,6612,1.497277676950998,99,15,13,41,30,27168.0,13285198.0,34.16,16.65,,16.65,16.65,33.0,15284.0
2016,吉安市,吉安,6323,1.5024513680215088,95,12,19,45,19,29772.0,14613721.0,35.53,16.65,,16.65,16.65,33.0,5860.0
2017,吉安市,吉安,4210,2.0427553444180524,86,8,20,32,26,32478.0,,,18.25,,18.25,18.25,33.0,4200.0
2018,吉安市,吉安,5596,1.858470335954253,104,9,14,41,40,35202.0,17422292.0,42.71,18.37,0.0,18.37,18.37,35.0,4620.0
2019,吉安市,吉安,5431,1.5835021174737618,86,5,15,36,30,42060.0,20850000.0,44.4,15.55,4.05,19.6,19.6,52.0,93475.0
2020,吉安市,吉安,5942,1.3295186805789296,79,12,15,24,28,48307.0,21680000.0,44.88,0.0,19.6,19.6,19.6,78.0,12900.0
2021,吉安市,吉安,5757,1.6154247003647733,93,14,18,25,36,56789.0,25260000.0,44.34,0.0,17.35709,19.03991,19.03991,128.0,1000.0
2022,吉安市,吉安,5671,1.7809910068770938,101,10,25,31,35,62170.0,27500000.0,43.98,0.0,16.87361,18.54409,18.54409,157.0,7520.0
2023,吉安市,吉安,5812,1.565726083964212,91,8,27,29,27,62099.0,27350000.0,46.47,0.0,17.80833,19.70003,19.70003,173.0,1330.0
2013,哈尔滨市,哈尔滨,5420,1.3468634686346863,73,9,9,25,30,50423.0,50170491.0,53.54,105.0,9.7,114.7,131.4,2314.0,49999.0
2014,哈尔滨市,哈尔滨,6048,1.058201058201058,64,11,6,17,30,53872.0,53400715.0,54.86,107.85,10.37,118.22,139.09,3011.0,44190.0
2015,哈尔滨市,哈尔滨,6066,0.9066930431915594,55,9,5,13,28,59027.0,57512119.0,55.92,108.38,22.88,131.26,143.26,3067.0,31747.0
2016,哈尔滨市,哈尔滨,6490,1.2018489984591678,78,8,19,23,28,63445.0,61016096.0,57.59,85.03,57.21,142.23,163.0,3118.0,6973.0
2017,哈尔滨市,哈尔滨,6570,0.9741248097412482,64,3,8,18,35,57193.0,62571800.0,,79.26,64.6,143.86,168.27,3466.0,
2018,哈尔滨市,哈尔滨,6019,1.3291244392756272,80,8,11,18,43,66094.0,63004794.0,64.85,89.9182,61.87294,151.79114,165.56,3486.0,10786.14
2019,哈尔滨市,哈尔滨,5572,1.2383345297918162,69,8,5,15,41,55175.0,52490000.0,67.68,114.30981,62.55235,184.87669,184.87669,3641.0,43593.92
2020,哈尔滨市,哈尔滨,6025,1.161825726141079,70,8,8,11,43,54570.0,51840000.0,66.05,96.46801,66.88436,168.34919,168.34919,3752.0,59053.0
2021,哈尔滨市,哈尔滨,5428,0.6079587324981577,33,4,2,7,20,53823.0,53520000.0,65.1,29.58942,150.57062,188.82538,188.82538,3926.0,131337.0
2022,哈尔滨市,哈尔滨,4915,1.525940996948118,75,9,20,23,23,55712.0,54900000.0,64.35,0.0,179.30975,186.1921,186.1921,4824.0,15039.0
2023,哈尔滨市,哈尔滨,3522,1.5332197614991483,54,10,9,8,27,56901.0,55760000.0,65.5,0.0,180.69244,191.53507,191.53507,4824.0,0.0
2013,唐山市,唐山,4385,1.5051311288483469,66,12,9,21,24,82831.0,61212139.0,32.27,52.75,,52.75,57.75,491.0,6709.0
2014,唐山市,唐山,4630,1.3174946004319654,61,8,7,20,26,80450.0,62253023.0,33.27,53.05,,53.05,57.66,491.0,1040.0
2015,唐山市,唐山,5006,1.1985617259288852,60,9,5,15,31,78398.0,61030601.0,35.55,58.21,,58.21,58.21,491.0,701.0
2016,唐山市,唐山,6626,1.0715363718683972,71,12,13,32,14,81239.0,63548675.0,35.5,21.62,45.9,67.52,67.52,803.0,117.0
2017,唐山市,唐山,3533,0.9623549391452024,34,7,4,12,11,82972.0,65301459.0,,21.16,43.33,73.63,73.63,659.0,430.0
2018,唐山市,唐山,3080,1.9155844155844155,59,15,13,12,19,87855.0,69549700.0,38.02,28.63108,47.54548,87.78656,87.78656,733.0,12995.34
2019,唐山市,唐山,3276,1.6483516483516485,54,18,5,17,14,86667.0,68900000.0,39.85,39.3509,37.49,88.9009,88.9009,827.0,40086.89
2020,唐山市,唐山,2605,1.45873320537428,38,10,3,12,13,93470.0,72110000.0,38.57,16.42152,54.0075,80.76312,80.76312,1057.0,1671.0
2021,唐山市,唐山,3853,1.6869971450817545,65,8,18,22,17,106784.0,82310000.0,37.38,9.15849,74.51502,95.97329,95.97329,1098.0,10340.0
2022,唐山市,唐山,3864,1.2939958592132506,50,5,15,11,19,115571.0,89010000.0,37.46,5.1582,66.03555,80.73956,80.73956,1237.0,19242.0
2023,唐山市,唐山,3196,1.2828535669586982,41,7,11,15,8,118418.0,91330000.0,41.8,0.0,72.4465,85.0148,85.0148,1204.0,8960.0
2013,嘉兴市,嘉兴,4154,1.974000962927299,82,15,16,18,33,90973.0,31476636.0,40.2,,25.27,25.27,25.27,177.0,2014.0
2014,嘉兴市,嘉兴,4232,1.4650283553875236,62,15,8,7,32,73458.0,33526045.0,41.58,,28.94,28.94,28.94,216.0,3711.0
2015,嘉兴市,嘉兴,4670,1.820128479657388,85,23,10,14,38,76850.0,35178068.0,43.44,,33.39,33.39,33.39,244.0,14912.0
2016,嘉兴市,嘉兴,4801,1.9370964382420328,93,24,14,14,41,83968.0,38621104.0,44.4,,35.11,35.11,35.11,295.0,7131.0
2017,嘉兴市,嘉兴,4996,1.6012810248198557,80,17,13,12,38,94510.0,43805200.0,,,36.91,41.84,41.84,351.0,3668.0
2018,嘉兴市,嘉兴,4778,1.6534114692339892,79,12,19,11,37,103858.0,48719836.0,43.77,0.0,32.4568,40.505,40.505,357.0,3658.45
2019,嘉兴市,嘉兴,4717,1.4415942336230656,68,16,6,15,31,112751.0,53700000.0,43.89,0.0,41.33548,51.89601,51.89601,476.0,10868.94
2020,嘉兴市,嘉兴,4705,1.381509032943677,65,13,6,17,29,102541.0,55100000.0,45.83,0.0,36.29495,43.74966,43.74966,538.0,6673.0
2021,嘉兴市,嘉兴,5299,1.3776184185695417,73,12,14,19,28,116323.0,63550000.0,43.59,0.0,33.12468,46.77921,46.77921,634.0,15301.0
2022,嘉兴市,嘉兴,6023,1.54408102274614,93,6,20,28,39,121794.0,67390000.0,42.67,0.0,33.60396,48.02678,48.02678,822.0,12027.0
2023,嘉兴市,嘉兴,5664,1.641949152542373,93,5,33,22,33,126851.0,70620000.0,44.52,0.0,35.7616,47.6013,47.6013,1159.0,15158.0
2013,大连市,大连,4771,1.2366380213791657,59,4,22,12,21,129455.0,76507861.0,42.89,65.7,56.24,121.94,121.94,848.0,546.0
2014,大连市,大连,3340,1.2574850299401197,42,2,9,14,17,109939.0,76555761.0,45.93,58.21,63.28,121.49,121.49,899.0,996.0
2015,大连市,大连,5229,0.956205775482884,50,5,10,10,25,110682.0,77316363.0,50.83,59.79,63.02,122.81,122.81,972.0,1962.0
2016,大连市,大连,5774,1.0218219605126428,59,2,18,13,26,97470.0,68101998.0,51.36,63.91,66.38,130.29,130.29,1154.0,2372.0
2017,大连市,大连,5319,1.4288400075202106,76,4,15,14,43,100033.0,69899000.0,,68.44,65.49,133.93,140.15,1284.0,2301.0
2018,大连市,大连,6327,1.4856962225383277,94,7,21,25,41,109550.0,76684823.0,51.96,71.95508,67.19183,143.67029,143.67029,1186.0,1802.26
2019,大连市,大连,6892,1.3203714451538016,91,9,11,16,55,99996.0,70020000.0,53.46,84.8557,110.9912,202.5255,202.5255,1353.0,
2020,大连市,大连,7567,0.7532707810228624,57,11,5,11,30,94685.0,70300000.0,53.43,80.4619,110.3731,200.9196,200.9196,1636.0,648.56
2021,大连市,大连,6938,0.9801095416546556,68,8,14,17,29,104751.0,78260000.0,51.25,95.0248,109.91425,212.44895,212.44895,1662.0,94980.0
2022,大连市,大连,7226,1.3838915029061722,100,12,32,20,36,112270.0,84310000.0,49.29,45.973,150.8545,204.0455,204.0455,1664.0,13932.0
2023,大连市,大连,7022,1.6519510111079465,116,12,42,33,29,116557.0,87530000.0,50.75,0.0,191.9685,199.4785,199.4785,1586.0,3230.0
2013,天津市,天津,5483,1.4043406894036112,77,13,17,28,19,99607.0,143701600.0,48.05,112.22,81.33,193.55,199.95,2482.0,4040.0
2014,天津市,天津,4789,1.774900814366256,85,13,15,21,36,105231.0,157269300.0,49.34,102.12,106.58,208.71,215.89,3036.0,260931.0
2015,天津市,天津,4223,1.918067724366564,81,15,13,15,38,107960.0,165381900.0,52.15,109.04,114.15,223.19,240.7,3937.0,14869.0
2016,天津市,天津,4422,1.8091361374943469,80,8,21,25,26,115053.0,178853900.0,56.44,113.34,139.97,253.3,269.03,4449.0,18518.0
2017,天津市,天津,4399,1.4776085473971357,65,8,10,16,31,119238.0,185491900.0,58.15,152.19,137.57,289.76,306.87,4725.0,8493.0
2018,天津市,天津,5634,1.9169329073482428,108,18,27,30,33,120711.0,188096400.0,58.62,142.03746,136.46063,278.49809,294.77095,5438.0,3536.26
2019,天津市,天津,6257,1.9018699057056097,119,19,14,44,42,90371.0,141040000.0,63.46,79.73172,191.3366,300.22616,300.22617,5276.0,185541.42
2020,天津市,天津,5936,1.8194070080862528,108,17,10,42,39,101614.0,140840000.0,64.39,79.25263,195.65899,306.54002,306.54018,5568.0,337660.0
2021,天津市,天津,5838,1.5587529976019183,91,10,16,36,29,113732.0,156950000.0,61.26,0.0708,309.76804,335.67763,335.67763,5601.0,98863.0
2022,天津市,天津,6847,1.4897035197896888,102,14,29,34,25,119235.0,163110000.0,61.3,0.0,287.35237,309.07758,309.0776,5475.0,45184.0
2023,天津市,天津,8056,1.2537239324726912,101,10,32,31,28,122752.0,167370000.0,62.65,0.0,265.95625,301.92206,301.92207,5456.0,11055.0
2013,太原市,太原,3221,1.769636758770568,57,11,6,16,24,65746.0,24128724.0,54.8,49.87,71.57,121.43,121.43,1956.0,5900.0
2014,太原市,太原,3263,1.593625498007968,52,17,6,19,10,59023.0,25310917.0,58.47,113.85,50.43,164.28,164.28,2780.0,
2015,太原市,太原,3213,1.4939309056956116,48,14,5,9,20,63483.0,27353442.0,61.34,122.83,50.81,173.64,174.4,2300.0,
2016,太原市,太原,3957,1.7437452615617892,69,12,13,22,22,68234.0,29556045.0,62.57,129.76,51.22,180.98,180.98,2837.0,
2017,太原市,太原,4294,2.1891010712622263,94,13,22,23,36,77536.0,33821819.0,,131.57,48.98,184.15,184.15,2837.0,8295.0
2018,太原市,太原,3468,1.6147635524798154,56,9,9,19,19,88272.0,38844778.0,61.9,106.6511,57.3261,171.1887,171.1887,2625.0,126243.51
2019,太原市,太原,5223,1.3019337545471952,68,10,14,12,32,90698.0,40290000.0,61.24,119.8,41.562,171.5399,171.5399,2625.0,65101.0
2020,太原市,太原,5250,1.2571428571428571,66,17,13,20,16,78734.0,41530000.0,63.01,60.6029,75.0853,142.176,142.176,3313.0,0.0
2021,太原市,太原,6128,1.0117493472584858,62,9,11,23,19,95646.0,51220000.0,57.87,0.0,152.6508,161.8393,161.8393,2322.0,13480.0
2022,太原市,太原,6096,1.2959317585301835,79,8,19,29,23,102922.0,55710000.0,54.87,0.0,129.59122,138.93622,138.93625,2037.0,22953.0
2023,太原市,太原,5818,1.1859745617050534,69,11,17,23,18,102370.0,55740000.0,57.16,0.0,137.63655,148.23917,148.23917,2496.0,0.0
2013,威海市,威海,4681,1.5594958342234566,73,11,9,25,28,100381.0,25496900.0,40.53,3.94,16.89,20.83,20.83,253.0,1810.0
2014,威海市,威海,4837,1.6539177175935498,80,11,8,27,34,99392.0,27903400.0,44.01,12.02,17.23,29.24,29.24,346.0,4423.0
2015,威海市,威海,5082,1.475796930342385,75,12,8,19,36,106922.0,30015700.0,45.38,17.65,23.7,41.35,41.35,402.0,10361.0
2016,威海市,威海,5706,1.454609183315808,83,11,11,31,30,114220.0,32122000.0,47.3,11.5,29.12,40.62,40.62,430.0,4440.0
2017,威海市,威海,5777,1.0039813051756967,58,5,3,17,33,124463.0,35129100.0,,10.71,30.71,41.42,41.42,451.0,11773.0
2018,威海市,威海,7126,1.7120404153802975,122,12,13,37,60,128774.0,36414800.0,48.31,13.6988,28.2631,41.9619,41.9619,488.0,22598.0
2019,威海市,威海,7748,1.368094992256066,106,8,6,45,47,104615.0,29640000.0,49.89,10.9042,32.21328,45.25748,45.25748,530.0,50812.7
2020,威海市,威海,7268,1.3070996147495872,95,15,6,38,36,103829.0,30180000.0,51.49,0.0,48.58456,50.49337,50.49337,564.0,11529.0
2021,威海市,威海,6211,1.336338753823861,83,4,14,23,42,118925.0,34640000.0,50.81,0.0,52.35624,54.15154,54.15154,595.0,15418.0
2022,威海市,威海,6427,1.4314610238058192,92,5,24,27,36,116871.0,34080000.0,51.05,0.0,54.722,56.4995,56.4995,606.0,1500.0
2023,威海市,威海,6020,1.2956810631229236,78,7,36,21,14,120504.0,35140000.0,51.61,0.0,56.6151,59.5164,59.5164,606.0,519.0
2013,宁波市,宁波,4541,1.5635322616163845,71,7,17,18,29,122912.0,71288672.0,43.64,44.93,60.61,105.54,105.54,686.0,1300.0
2014,宁波市,宁波,5342,1.928116810183452,103,24,13,26,40,98362.0,76102816.0,44.07,20.26,84.38,104.64,104.64,712.0,24345.0
2015,宁波市,宁波,4854,1.4009064688916355,68,8,8,16,36,102374.0,80036103.0,45.24,27.76,83.24,111.0,111.0,729.0,16526.0
2016,宁波市,宁波,5605,1.5343443354148083,86,12,18,26,30,110656.0,86864911.0,45.23,66.71,83.86,150.57,150.57,838.0,21931.0
2017,宁波市,宁波,6981,1.633003867640739,114,15,23,36,40,123955.0,98420600.0,,34.78,105.4,151.83,151.83,908.0,64046.0
2018,宁波市,宁波,5522,1.2133285041651576,67,7,11,15,34,132603.0,107454632.0,45.9,15.00711,134.06541,159.41028,159.41028,1033.0,66131.85
2019,宁波市,宁波,5820,1.013745704467354,59,8,9,8,34,143157.0,119850000.0,49.06,10.98765,137.76106,161.20756,161.2076,1109.0,107371.28
2020,宁波市,宁波,6267,0.9893090793042923,62,9,3,16,34,132614.0,124090000.0,51.38,5.91775,121.58393,150.25251,150.25251,1242.0,69872.0
2021,宁波市,宁波,7179,1.1840089148906532,85,10,15,31,29,153922.0,145950000.0,49.62,0.0,120.23192,143.35412,143.35412,1444.0,32408.0
2022,宁波市,宁波,6569,1.3244024965748211,87,6,22,20,39,163911.0,157040000.0,50.36,0.0,116.93621,142.8074,142.8074,1740.0,16728.0
2023,宁波市,宁波,7431,1.3053424841878616,97,5,30,20,42,170363.0,164530000.0,51.84,0.0,116.488,142.60749,142.60749,2010.0,16645.0
2013,安庆市,安庆,4841,1.4872960132204092,72,9,10,18,35,22801.0,14182282.0,32.61,,34.65,34.65,35.3,57.0,
2014,安庆市,安庆,4129,1.5015742310486802,62,9,6,22,25,28808.0,15443170.0,33.49,,27.18,27.18,27.48,57.0,
2015,安庆市,安庆,4114,1.4341273699562471,59,11,10,15,23,31101.0,14174300.0,36.53,,27.18,27.18,27.48,58.0,
2016,安庆市,安庆,4640,1.5086206896551724,70,12,19,17,22,33294.0,15311776.0,39.97,,21.04,21.04,21.04,60.0,657.0
2017,安庆市,安庆,4269,1.7568517217146873,75,9,23,14,29,36928.0,17088300.0,,,20.91,20.91,20.91,728.0,11974.0
2018,安庆市,安庆,6709,1.952600983753168,131,10,46,24,51,41088.0,19175850.0,39.7,0.0,17.50207,17.50207,17.5021,763.0,17888.0
2019,安庆市,安庆,4300,1.7209302325581397,74,8,9,25,32,50574.0,23810000.0,45.98,0.0,23.7458,24.9297,24.9297,851.0,29001.22
2020,安庆市,安庆,4492,1.6918967052537843,76,15,5,21,35,58684.0,24680000.0,47.04,0.0,24.76589,25.9802,25.9802,851.0,9368.0
2021,安庆市,安庆,7476,1.5917602996254685,119,12,17,45,45,63707.0,26570000.0,46.71,0.0,25.49757,27.02506,27.02506,851.0,1460.0
2022,安庆市,安庆,3556,1.9122609673790776,68,15,11,17,25,66470.0,27670000.0,46.6,0.0,23.78798,25.55285,25.55285,851.0,14072.0
2023,安庆市,安庆,6913,1.6490669752639953,114,14,36,31,33,69583.0,28780000.0,48.56,0.0,24.95499,27.74019,27.74016,854.0,5466.0
2013,宜昌市,宜昌,5812,1.032346868547832,60,8,5,17,30,70452.0,28180700.0,27.97,30.24,,30.24,33.02,173.0,7411.0
2014,宜昌市,宜昌,5610,1.6221033868092691,91,8,12,27,44,76369.0,31322100.0,29.47,31.1,,31.1,32.69,211.0,10659.0
2015,宜昌市,宜昌,6232,1.5885750962772789,99,12,24,21,42,82360.0,33848000.0,30.37,30.28,,30.28,31.43,234.0,7123.0
2016,宜昌市,宜昌,6473,1.5603275142901285,101,11,25,31,34,89978.0,37093600.0,32.02,31.97,,31.97,31.97,253.0,2157.0
2017,宜昌市,宜昌,5078,2.3237495076801893,118,9,31,41,37,93331.0,38571700.0,,37.71,,38.62,38.62,419.0,5504.0
2018,宜昌市,宜昌,5373,2.0658849804578447,111,11,28,35,37,98269.0,40641800.0,38.03,38.2959,0.0,41.37496,41.37496,410.0,1774.34
2019,宜昌市,宜昌,6091,1.9044491873255625,116,10,25,48,33,107830.0,44610000.0,44.62,43.6094,0.0,48.1187,48.1187,423.0,3900.0
2020,宜昌市,宜昌,5382,1.7279821627647716,93,11,13,21,48,104807.0,42610000.0,46.3,40.916,0.0,44.0101,44.0101,435.0,5159.0
2021,宜昌市,宜昌,6425,1.5408560311284047,99,9,24,30,36,127091.0,50230000.0,47.18,39.956,0.0,49.9853,49.9853,556.0,300.0
2022,宜昌市,宜昌,2866,1.3956734124214931,40,2,12,18,8,140552.0,55030000.0,45.21,35.0742,0.0,44.4811,44.4811,540.0,96715.0
2023,宜昌市,宜昌,5413,1.5702937372990948,85,8,25,26,26,146771.0,57560000.0,49.81,11.5836,26.66399,45.09749,45.0975,592.0,14550.0
2013,宝鸡市,宝鸡,6193,1.3240755691910222,82,10,16,25,31,40049.0,15459100.0,23.99,29.2,,29.2,29.2,187.0,10061.0
2014,宝鸡市,宝鸡,5381,1.598215944991637,86,7,16,25,38,43824.0,16429000.0,26.17,36.34,,36.34,36.34,192.0,11911.0
2015,宝鸡市,宝鸡,4605,1.6503800217155264,76,13,13,22,28,47565.0,17876280.0,26.91,36.54,,36.54,36.54,192.0,17729.0
2016,宝鸡市,宝鸡,5475,1.771689497716895,97,15,15,35,32,51262.0,19321400.0,27.62,24.89,,24.89,24.97,196.0,2000.0
2017,宝鸡市,宝鸡,6191,1.5506380229365209,96,12,21,36,27,58010.0,21916100.0,,21.4,,21.4,21.42,208.0,300.0
2018,宝鸡市,宝鸡,5136,1.4018691588785046,72,9,18,28,17,59988.0,22651600.0,29.48,28.63146,0.0,28.63146,28.66012,208.0,370.0
2019,宝鸡市,宝鸡,5313,1.1104837191793715,59,6,9,16,28,59050.0,22240000.0,34.68,37.89146,0.0,37.89146,37.89146,215.0,330.0
2020,宝鸡市,宝鸡,4680,1.5598290598290598,73,8,7,27,31,67666.0,22770000.0,35.62,33.77995,0.0,33.77995,33.77995,224.0,1504.0
2021,宝鸡市,宝鸡,5930,1.6188870151770656,96,5,13,30,48,77210.0,25490000.0,34.44,41.89128,0.0,41.89128,41.89128,274.0,0.0
2022,宝鸡市,宝鸡,5095,1.4720314033366046,75,7,9,30,29,83801.0,27430000.0,34.0,41.0873,0.0,41.0873,41.0873,281.0,4421.0
2023,宝鸡市,宝鸡,4440,1.2612612612612613,56,7,10,20,19,80998.0,26410000.0,34.53,37.7725,0.0,41.9627,41.9627,304.0,18789.0
2013,宣城市,宣城,5272,1.5364188163884671,81,10,11,23,37,30100.0,8428049.0,33.23,10.71,,10.71,10.71,45.0,7797.0
2014,宣城市,宣城,5808,1.3085399449035813,76,8,5,29,34,35726.0,9176300.0,35.75,11.84,,11.84,11.84,140.0,13045.0
2015,宣城市,宣城,5621,1.2809108699519658,72,6,6,22,38,37610.0,9714569.0,38.79,11.92,,11.92,11.92,142.0,85.0
2016,宣城市,宣城,7317,1.2436791034577013,91,8,11,32,40,40740.0,10578243.0,40.47,1.22,12.3,13.52,13.52,148.0,30018.0
2017,宣城市,宣城,6802,1.3819464863275506,94,6,20,32,36,45467.0,11855600.0,,1.24,27.19,28.42,28.42,210.0,125260.0
2018,宣城市,宣城,7002,1.7709225935447013,124,14,30,23,57,50065.0,13172047.0,41.01,5.4015,6.64,12.0415,12.0415,123.0,22275.0
2019,宣城市,宣城,6136,1.3852672750977837,85,8,15,20,42,58819.0,15610000.0,43.12,2.96153,9.44847,12.41,12.41,125.0,54860.58
2020,宣城市,宣城,5727,1.187358128164833,68,4,12,18,34,64301.0,16070000.0,42.75,0.0,13.0664,13.0664,13.0664,140.0,1535.0
2021,宣城市,宣城,5676,1.3037350246652573,74,4,16,31,23,73548.0,18340000.0,42.04,0.0,14.4863,14.4863,14.4863,140.0,10992.0
2022,宣城市,宣城,6503,1.5069967707212055,98,8,20,37,33,76853.0,19140000.0,41.66,0.0,14.1055,15.2382,15.2383,137.0,4300.0
2023,宣城市,宣城,6307,1.680672268907563,106,12,31,27,36,78358.0,19520000.0,44.35,0.0,14.9406,16.0254,16.0254,133.0,600.0
2013,宿迁市,宿迁,3928,1.0183299389002036,40,4,5,10,21,29830.0,17062756.0,38.43,,20.1,20.1,20.1,184.0,4992.0
2014,宿迁市,宿迁,6399,0.9845288326300984,63,8,2,14,39,39963.0,19306800.0,38.9,,25.2,25.2,25.2,240.0,4794.0
2015,宿迁市,宿迁,7219,1.897769774206954,137,13,13,48,63,43853.0,21261900.0,39.35,5.42,21.38,26.8,26.8,272.0,5067.0
2016,宿迁市,宿迁,6800,1.8382352941176472,125,13,12,49,51,48311.0,23511200.0,39.81,,27.82,27.82,27.82,374.0,830.0
2017,宿迁市,宿迁,8956,1.6860205448861096,151,19,11,49,72,55582.0,26109401.0,,,27.03,28.59,28.59,392.0,35796.0
2018,宿迁市,宿迁,6613,1.8599727808861333,123,15,14,51,43,55906.0,27507200.0,42.55,0.0,31.0758,34.93443,34.93443,480.0,2725.47
2019,宿迁市,宿迁,6350,1.3070866141732285,83,9,10,30,34,62840.0,30990000.0,46.8,0.0,30.753,35.56001,35.56001,524.0,
2020,宿迁市,宿迁,5956,1.4103425117528543,84,3,10,28,43,65503.0,32620000.0,47.64,0.0,31.9257,36.35034,36.35034,672.0,200.0
2021,宿迁市,宿迁,6260,1.7252396166134183,108,13,19,43,33,74476.0,37190000.0,47.14,0.0,33.55193,38.67997,38.67997,674.0,4840.0
2022,宿迁市,宿迁,5675,1.5330396475770929,87,5,28,32,22,82452.0,41120000.0,46.05,0.0,36.37,41.2757,41.2757,890.0,19140.0
2023,宿迁市,宿迁,5076,1.5169424743892828,77,3,25,22,27,88379.0,43980000.0,46.99,0.0,40.9621,45.38827,45.38827,901.0,3204.0
2013,常州市,常州,5130,1.6374269005847957,84,10,11,19,44,96547.0,43609347.0,45.22,11.02,48.22,59.24,59.24,292.0,4468.0
2014,常州市,常州,3651,1.9720624486442069,72,14,5,28,25,104423.0,49018700.0,48.05,15.22,46.61,61.83,61.83,289.0,58638.0
2015,常州市,常州,4633,1.877832937621412,87,17,5,36,29,112221.0,52731500.0,49.51,25.21,51.27,76.48,76.48,520.0,45065.0
2016,常州市,常州,4497,2.0013342228152102,90,8,18,32,32,122721.0,57738600.0,50.9,15.68,67.85,83.53,83.53,657.0,27750.0
2017,常州市,常州,5232,1.6819571865443423,88,2,17,34,35,137459.0,66184200.0,,21.1,52.87,81.38,81.38,681.0,94509.0
2018,常州市,常州,4974,1.5480498592681946,77,10,14,24,29,149277.0,70502700.0,51.5,22.802,78.9124,111.0838,111.0838,858.0,2680.0
2019,常州市,常州,5552,1.67507204610951,93,19,13,25,36,156390.0,74010000.0,50.19,14.6028,84.2466,110.402,110.402,932.0,19145.0
2020,常州市,常州,6261,1.7888516211467815,112,17,24,26,45,147939.0,78050000.0,51.57,24.122,92.98857,127.36831,127.36831,997.0,15861.11
2021,常州市,常州,5332,1.837959489872468,98,14,27,24,33,165724.0,88080000.0,50.43,30.50123,89.8598,134.33535,134.33535,1089.0,20866.0
2022,常州市,常州,5690,1.616871704745167,92,5,23,29,35,178243.0,95500000.0,49.35,10.233,94.6512,132.33355,132.33355,1136.0,15073.0
2023,常州市,常州,5437,1.618539635828582,88,7,34,23,24,188366.0,101160000.0,50.22,1.2284,121.6152,137.1772,137.1773,1174.0,5559.0
2013,广州市,广州,5144,1.1275272161741834,58,11,8,13,26,185338.0,154201434.0,64.62,292.62,50.6,343.22,394.29,2240.0,12635.0
2014,广州市,广州,5110,1.2328767123287672,63,9,10,11,33,128478.0,167068719.0,65.23,281.12,92.31,373.43,430.21,2612.0,22332.0
2015,广州市,广州,5024,1.094745222929936,55,11,5,11,28,136188.0,181004136.0,67.11,334.97,99.18,434.15,455.84,4335.0,9370.0
2016,广州市,广州,6794,1.4424492198999117,98,10,17,30,41,141933.0,195474420.0,69.35,383.49,101.19,484.67,504.36,4550.0,141734.0
2017,广州市,广州,6995,1.3295210864903504,93,14,10,25,44,150678.0,215031500.0,,416.58,91.11,507.69,526.11,4483.0,255767.0
